 # turn element attribute SETidx funname value
          88 GLOBAL-VARS          E0                      1 energy               0.450120292E+06
          89 GLOBAL-VARS          E0                      1 energy               0.450120295E+06
          90 GLOBAL-VARS          E0                      1 energy               0.450120299E+06
          91 GLOBAL-VARS          E0                      1 energy               0.450120302E+06
          92 GLOBAL-VARS          E0                      1 energy               0.450120305E+06
          93 GLOBAL-VARS          E0                      1 energy               0.450120309E+06
          94 GLOBAL-VARS          E0                      1 energy               0.450120312E+06
          95 GLOBAL-VARS          E0                      1 energy               0.450120316E+06
          96 GLOBAL-VARS          E0                      1 energy               0.450120319E+06
          97 GLOBAL-VARS          E0                      1 energy               0.450120322E+06
          98 GLOBAL-VARS          E0                      1 energy               0.450120326E+06
          99 GLOBAL-VARS          E0                      1 energy               0.450120329E+06
         100 GLOBAL-VARS          E0                      1 energy               0.450120333E+06
