 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=           1 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        1        8  13359.13123  5.101927689E+00 -8.122291905E-02  9.722263186E+00  6.838616532E-01  1.006259844E+01 -2.619831870E-04       11
        2        8  13359.13123 -2.452586278E+00  2.785993437E-02  1.606505873E+00  1.005246524E-01 -9.197199553E+01 -4.848051036E-04       11
        1        8  26629.04120 -7.581129229E+00  5.354036628E-01 -4.751804153E+00 -8.880517822E-02  1.116329284E+01 -2.619831870E-04       11
        2        8  26629.04120 -5.920081471E+00  4.096981328E-01 -4.748695787E+00 -8.298483287E-02 -8.995471766E+01 -4.848051036E-04       11
        1        9     29.84200  4.697542968E+00 -6.512089844E-02  6.325725613E+00  4.610241717E-01  1.116053247E+01 -2.619905675E-04       11
        2        9     29.84200  3.176017817E+00 -3.368097847E-02  6.661796365E+00  4.811894157E-01 -8.995693944E+01 -4.848124826E-04       11
        1        9  13359.13123  9.436148420E+00 -1.565222759E-01 -8.707408849E+00 -6.443593885E-01  1.225021119E+01 -2.584161088E-04       11
        2        9  13359.13123  6.056699245E+00 -9.753360945E-02 -1.395438081E+00 -1.146631673E-01 -8.790027352E+01 -5.088536342E-04       11
        1        9  26629.04120  8.872156456E+00 -6.522611327E-01 -9.774110287E+00 -1.539633482E-01  1.332860774E+01 -2.584161088E-04       11
        2        9  26629.04120 -4.543973300E+00  3.162255138E-01 -3.927956822E+00 -6.796152465E-02 -8.578268507E+01 -5.088536342E-04       11
        1       10     29.84200 -6.994000853E+00  1.135066738E-01  1.406786345E+01  1.011658129E+00  1.332045880E+01 -2.584234914E-04       11
        2       10     29.84200  2.540105959E+00 -3.221858059E-02  5.651191329E+00  4.064752641E-01 -8.578421394E+01 -5.088610150E-04       11
        1       10  13359.13123 -2.429633439E+00  2.362062406E-02  1.318812707E-01  2.497766698E-04  1.440050595E+01 -2.542134286E-04       11
        2       10  13359.13123  7.492275120E+00 -1.273765479E-01  2.393982494E+00  1.593008779E-01 -8.362924924E+01 -5.319526450E-04       11
        1       10  26629.04120 -6.062042179E-01  2.512007874E-02  3.212331747E+00  4.223832727E-02  1.546913709E+01 -2.542134286E-04       11
        2       10  26629.04120  7.753299964E+00 -5.728877675E-01 -1.781816548E+00 -3.718566611E-02 -8.141865936E+01 -5.319526450E-04       11
        1       11     29.84200 -6.552681247E-01  2.623762240E-02 -4.336353051E+00 -3.152620531E-01  1.546850647E+01 -2.542208132E-04       11
        2       11     29.84200 -6.275120609E+00  1.044700123E-01  2.511817249E+00  1.812873591E-01 -8.142092369E+01 -5.319600276E-04       11
        1       11  13359.13123  1.969064286E+00 -3.380375251E-02  1.102239035E+01  7.786873590E-01  1.652973014E+01 -2.493771938E-04       11
        2       11  13359.13123 -2.074052043E+00  2.013673481E-02  2.251443172E+00  1.471410321E-01 -7.916577870E+01 -5.540290839E-04       11
        1       11  26629.04120 -9.923850174E+00  7.026476166E-01 -2.850348341E+00 -6.009658669E-02  1.757783479E+01 -2.493771938E-04       11
        2       11  26629.04120 -2.831131546E+00  1.864063699E-01 -4.397469453E+00 -7.797579097E-02 -7.686265455E+01 -5.540290839E-04       11
        1       12     29.84200  6.253967572E+00 -8.628023572E-02  3.629728494E+00  2.666594861E-01  1.757478195E+01 -2.493845804E-04       11
        2       12     29.84200  9.635983365E-01  5.692836329E-04  6.147592221E+00  4.443272351E-01 -7.686403659E+01 -5.540364683E-04       11
        1       12  13359.13123  1.047927358E+01 -1.697602052E-01 -7.079488298E+00 -5.279884341E-01  1.860822956E+01 -2.439226225E-04       11
        2       12  13359.13123  3.580715904E+00 -5.948281375E-02 -1.346151251E+00 -1.114206412E-01 -7.451695524E+01 -5.750057644E-04       11
        1       12  26629.04120  6.172934437E+00 -4.561228402E-01 -1.067589650E+01 -1.691776533E-01  1.962783023E+01 -2.439226225E-04       11
        2       12  26629.04120 -7.149852763E+00  5.030623196E-01 -4.327317237E+00 -7.422004028E-02 -7.212596674E+01 -5.750057644E-04       11
        1       13     29.84200 -5.000548364E+00  8.122440974E-02  1.525263779E+01  1.098199168E+00  1.961991362E+01 -2.439300111E-04       11
        2       13     29.84200  4.315493662E+00 -5.754725013E-02  6.205531007E+00  4.466047284E-01 -7.212850081E+01 -5.750131507E-04       11
        1       13  13359.13123  5.838603200E-03 -1.513488339E-02 -2.560573423E+00 -1.941376244E-01  2.063782158E+01 -2.378723214E-04       11
        2       13  13359.13123  8.883236730E+00 -1.468732477E-01  1.838922246E+00  1.194145093E-01 -6.970183733E+01 -5.948082598E-04       11
        1       13  26629.04120  3.807880215E+00 -2.925576645E-01  2.004925314E+00  2.534110605E-02  2.163792988E+01 -2.378723214E-04       11
        2       13  26629.04120  6.515125387E+00 -4.823098117E-01 -1.779845127E+00 -3.672585790E-02 -6.723079814E+01 -5.948082598E-04       11
        1       14     29.84200 -3.736791264E+00  7.198306393E-02 -2.546790467E+00 -1.871854085E-01  2.163709692E+01 -2.378797121E-04       11
        2       14     29.84200 -5.325107785E+00  8.826476333E-02  2.534530944E+00  1.826225601E-01 -6.723252161E+01 -5.948156479E-04       11
        1       14  13359.13123 -9.208830871E-01  8.767002966E-03  1.153692728E+01  8.170079152E-01  2.262701635E+01 -2.312340957E-04       11
        2       14  13359.13123 -5.951914643E-01 -4.037736661E-03  2.807465670E+00  1.874344383E-01 -6.471664047E+01 -6.133643360E-04       11
        1       14  26629.04120 -1.049958632E+01  7.421812588E-01 -9.924848267E-01 -3.151180395E-02  2.359938200E+01 -2.312340957E-04       11
        2       14  26629.04120  7.623607913E-01 -7.264332637E-02 -3.957401494E+00 -7.150905623E-02 -6.216874551E+01 -6.133643360E-04       11
        1       15     29.84200  6.545511796E+00 -8.788720333E-02  1.026822968E+00  7.862974779E-02  2.359642477E+01 -2.312414885E-04       11
        2       15     29.84200 -1.567398742E+00  3.874817838E-02  5.513757653E+00  3.987572535E-01 -6.216984562E+01 -6.133717260E-04       11
        1       15  13359.13123  1.022151573E+01 -1.630374802E-01 -4.830839494E+00 -3.666145446E-01  2.455327324E+01 -2.240275426E-04       11
        2       15  13359.13123  1.023326217E+00 -2.103846363E-02 -1.104994611E+00 -9.434561742E-02 -5.957613505E+01 -6.305988104E-04       11
